Column1,Type,Phylum,Class,Order,Family,Genus,Species,Human,Zoonotic,Domestic,Wildlife,HostGroup,HostOrder,HostFamily,HostSpecies,HostName,Association,Method,Reference,PMID,Additional,Synonym,Disease,Taylor,Emerging,Emerging.Source,VectorBorne,GramStain,Motility,Spore,Oxygen,Cell,Infection,Abbreviation,Strain,Genome,Gsize,ProteinCount,PercentGC,HostSpeciesPHB,HostSpecies.new,N.genomes,Genome.size,Genome.GC,Genome.genes
14,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces europaeus,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Funke et al. 1997,9226901,21509423,,Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,2.07024,56.2,1906
15,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces funkei,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Lawson et al. 2001,11411706,12030396,,Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,0,NA,NA,NA
18,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Ramos et al. 1997,9226924,21421069,,Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,2.10786,57.8,1812
20,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces hongkongensis,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Woo et al. 2003,14666979,23698532,,Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,2.14149,69.9,1816
22,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces hyovaginalis,No,No,Captive,No,Ungulates,Artiodactyla,Bovidae,Ovis aries orientalis,Asiatic mouflon,Pathogenic,Isolation,Foster et al. 2012,22266161,,,,No,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Ovisorientalis,Ovis orientalis,0,NA,NA,NA
24,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces hyovaginalis,No,No,Yes,No,Ungulates,Artiodactyla,Bovidae,Ovis aries,Domestic sheep,Pathogenic,Isolation,Foster et al. 2012,22266161,,,,No,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Ovisaries,Ovis aries,0,NA,NA,NA
25,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces hyovaginalis,No,No,Yes,No,Ungulates,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,Pathogenic,Isolation,Collins et al. 1993,12859910,,,,No,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Susscrofadomesticus,Sus scrofa domesticus,0,NA,NA,NA
26,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces israelii,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,3757351,,Streptothrix israeli; Nocardia israeli; Actinobacterium israeli; etc.,Actinomycosis,Yes,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,2.573,64.1,2161
27,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces israelii,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,Pathogenic,Isolation,,NA,https://c.ymcdn.com/sites/www.aazv.org/resource/resmgr/IDM/IDM_Actinomycosis_2013.pdf,Streptothrix israeli; Nocardia israeli; Actinobacterium israeli; etc.,,Yes,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Bostaurus,Bos taurus,1,2.573,64.1,2161
28,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces israelii,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,Pathogenic,Isolation,,NA,https://c.ymcdn.com/sites/www.aazv.org/resource/resmgr/IDM/IDM_Actinomycosis_2013.pdf,Streptothrix israeli; Nocardia israeli; Actinobacterium israeli; etc.,,Yes,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Susscrofadomesticus,Sus scrofa domesticus,1,2.573,64.1,2161
34,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces meyeri,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,8729199,,Actinobacterium meyer,Actinomycosis,Yes,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,0,NA,NA,NA
35,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces meyeri,Yes,Yes,Yes,No,Carnivora,Carnivora,Felidae,Felis catus,Domestic cat,Pathogenic,Isolation,,NA,Infectious Diseases of the Dog and Cat,Actinobacterium meyer,,Yes,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Feliscatus,Felis catus,0,NA,NA,NA
36,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Thompson and Lovestedt 1951,14827946,3611322,,Actinomycosis,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,22,3.150536364,67.8,2720.318182
39,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces neuii,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Funke et al. 1994,21340579,,,Actinomycosis,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,3,2.380033333,56.26666667,2167
40,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Batty 1958,13576328,14720410,,Actinomycosis,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,0,NA,NA,NA
43,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces radicidentis,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Kalfas et al. 2001,11505269,,,Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,3.05161,72.6,2604
44,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces radingae,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Wust et al. 1995,7534464,9586364,,Actinomycosis,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,0,NA,NA,NA
48,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces turicensis,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Wust et al. 1995,7534464,12173147,,Actinomycosis,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,0,NA,NA,NA
49,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Nikolaitchouk et al. 2000,10939672,24025912,,Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,2,2.556065,68.8,2130.5
51,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,11235043,,Odontomyces viscosus,Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,3.49124,68.9,2969
52,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,Yes,Yes,Yes,No,Carnivora,Carnivora,Felidae,Felis catus,Domestic cat,Pathogenic,Isolation,,9409531,,Odontomyces viscosus,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Feliscatus,Felis catus,1,3.49124,68.9,2969
54,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Camelidae,Camelus dromedarius,Dromedary,Pathogenic,Isolation,Kilic & Kirkan 2004,15533120,,Odontomyces viscosus,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Camelusdromedarius,Camelus dromedarius,1,3.49124,68.9,2969
55,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,Yes,Yes,Yes,No,Ungulates,Perissodactyla,Equidae,Equus caballus,Horse,Pathogenic,Isolation,Specht et al. 1991,2010343,,Odontomyces viscosus,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Equuscaballus,Equus caballus,1,3.49124,68.9,2969
56,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum sanguinis,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Yassin et al. 2015,25406238,,,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,2.03801,61.3,1738
57,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum schaalii,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Lawson et al. 1997,22209960,26577137,Actinobaculum schaalii,,No,Yes,PMID: 27014462,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,2.15931,62.2,1804
60,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,MacLean et al. 1946,1766710,7578727,Corynebacterium haemolyticum,,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,3,2.047953333,54.23333333,1923.666667
63,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,Pathogenic,Isolation,,20927177,,Corynebacterium haemolyticum,,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Bostaurus,Bos taurus,3,2.047953333,54.23333333,1923.666667
66,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum,Yes,Yes,Yes,No,Ungulates,Perissodactyla,Equidae,Equus caballus,Horse,Pathogenic,Isolation,,19020059,21253917,Corynebacterium haemolyticum,,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Equuscaballus,Equus caballus,3,2.047953333,54.23333333,1923.666667
67,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium hippocoleae,No,No,Yes,No,Ungulates,Perissodactyla,Equidae,Equus caballus,Horse,Pathogenic,Isolation,Hoyles et al. 2002,18776114,11931175,,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Equuscaballus,Equus caballus,0,NA,NA,NA
68,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium phocae,No,No,Captive,No,Carnivora,Carnivora,Canidae,Nyctereutes procyonoides,Raccoon dog,Pathogenic,Isolation,,25302603,,,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Nyctereutesprocyonoides,Nyctereutes procyonoides,1,1.99834,50,1801
69,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium phocae,No,No,Captive,No,Carnivora,Carnivora,Canidae,Vulpes lagopus,Arctic fox,Pathogenic,Isolation,,25302603,,,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Vulpeslagopus,Vulpes lagopus,1,1.99834,50,1801
70,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium phocae,No,No,Captive,No,Carnivora,Carnivora,Mustelidae,Neovison vison,American mink,Pathogenic,Isolation,,25302603,,,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Neovisonvison,Neovison vison,1,1.99834,50,1801
83,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,18418301,,Falcivibrio vaginalis,,No,No,,No,Gram-variable,Motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,2.44837,55.4,2235
84,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus mulieris,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,7874884,,Falcivibrio grandis,,No,No,,No,Gram-negative,Motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,4,2.5909975,55.025,2400.25
85,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella abortisuis,No,No,Yes,No,Ungulates,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,Pathogenic,Isolation,,22372322,,Arcanobacterium abortisuis,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Bostaurus,Bos taurus,0,NA,NA,NA
86,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella abortisuis,No,No,Yes,No,Ungulates,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,Pathogenic,Isolation,,22372322,24199385,Arcanobacterium abortisuis,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Susscrofadomesticus,Sus scrofa domesticus,0,NA,NA,NA
87,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella bernardiae,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,24239204,,CDC coryneform group 2; Arcanobacterium bernardiae; Actinomyces bernardiae,,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,3,2.0413,65.5,1830.333333
89,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Yes,Yes,Captive,No,Ungulates,Artiodactyla,Bovidae,Antilope cervicapra,Blackbuck,Pathogenic,Isolation,,17323570,,"Corynebacterium pyogenes; Bacillus pyogenes; Arcanobacterium pyogenes, etc.",,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Antilopecervicapra,Antilope cervicapra,17,2.432320588,59.25294118,2087.5625
90,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Yes,Yes,Captive,No,Ungulates,Artiodactyla,Bovidae,Cephalophus silvicultor,Yellow-backed duiker,Pathogenic,Isolation,,NA,http://www.jstor.org/stable/20094849 ,"Corynebacterium pyogenes; Bacillus pyogenes; Arcanobacterium pyogenes, etc.",,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Cephalophussilvicultor,Cephalophus silvicultor,17,2.432320588,59.25294118,2087.5625
91,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Yes,Yes,Captive,No,Ungulates,Artiodactyla,Bovidae,Connochaetes taurinus,Blue wildebeest,Pathogenic,Isolation,,NA,http://www.jstor.org/stable/20094849 ,"Corynebacterium pyogenes; Bacillus pyogenes; Arcanobacterium pyogenes, etc.",,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Connochaetestaurinus,Connochaetes taurinus,17,2.432320588,59.25294118,2087.5625
92,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Yes,Yes,Captive,No,Ungulates,Artiodactyla,Bovidae,Gazella dorcas,Dorcas gazelle,Pathogenic,Isolation,,NA,http://www.jstor.org/stable/20094849 ,"Corynebacterium pyogenes; Bacillus pyogenes; Arcanobacterium pyogenes, etc.",,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Gazelladorcas,Gazella dorcas,17,2.432320588,59.25294118,2087.5625
93,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Yes,Yes,Captive,No,Ungulates,Artiodactyla,Bovidae,Oryx dammah,Scimitar-horned oryx,Pathogenic,Isolation,,NA,http://www.jstor.org/stable/20094849 ,"Corynebacterium pyogenes; Bacillus pyogenes; Arcanobacterium pyogenes, etc.",,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Oryxdammah,Oryx dammah,17,2.432320588,59.25294118,2087.5625
94,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Yes,Yes,Captive,No,Ungulates,Artiodactyla,Cervidae,Muntiacus reevesi,Reeves's muntjac,Pathogenic,Isolation,,NA,http://www.jstor.org/stable/20094849 ,"Corynebacterium pyogenes; Bacillus pyogenes; Arcanobacterium pyogenes, etc.",,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Muntiacusreevesi,Muntiacus reevesi,17,2.432320588,59.25294118,2087.5625
95,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Yes,Yes,Captive,No,Ungulates,Artiodactyla,Moschidae,Moschus berezovskii,Chinese forest musk deer,Pathogenic,Isolation,,23354327,,"Corynebacterium pyogenes; Bacillus pyogenes; Arcanobacterium pyogenes, etc.",,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Moschusberezovskii,Moschus berezovskii,17,2.432320588,59.25294118,2087.5625
96,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,19624940,,"Corynebacterium pyogenes; Bacillus pyogenes; Arcanobacterium pyogenes, etc.",,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,17,2.432320588,59.25294118,2087.5625
97,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,Yes,Yes,No,Yes,Mammalia,Proboscidea,Elephantidae,Elephas maximus,Asiatic elephant,Pathogenic,Isolation,,NA,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.739.3008&rep=rep1&type=pdf,"Corynebacterium pyogenes; Bacillus pyogenes; Arcanobacterium pyogenes, etc.",,Yes,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Elephasmaximus,Elephas maximus,17,2.432320588,59.25294118,2087.5625
